set,run,raw_path,sha256,git_blob_oid,acquisition_id,raw_bytes,artifact_role,release_eligible,intake_policy_version,intake_implementation_parity_target,intake_decision_manifest_version,qc_disposition,intake_ramp_review_required,intake_ramp_review_ramp_gf_per_mm,intake_ramp_review_retained_median_gf_per_mm,intake_ramp_review_signed_deviation_pct,intake_ramp_review_absolute_deviation_pct,intake_ramp_review_threshold_pct,rows,malformed_rows,nonfinite_values,header_exact,millis_strictly_increasing,millis_monotonic,interval_median_ms,interval_p95_ms,interval_max_ms,timing_gap_count,effective_speed_mm_s,rate_cohort_conform,phase_reversals_press,phase_reversals_return,max_travel_row_count,turnaround_documented_duplicate,turnaround_detail,turnaround_travel_delta_mm,turnaround_step_delta,travel_step_violations,steps_continuity_violations,travel_steps_ratio_violations,grid_conforming,invalid_turnaround,missing_duplicate_turnaround,x_start_mm,x_max_mm,x_end_mm,press_span_mm,return_span_mm,return_rows,return_completion_fraction,origin_zone_conform,endpoint_zone_conform,press_span_conform,return_span_conform,return_completion_conform,return_rows_supplementary_ok,incomplete_press,incomplete_return,short_return,bad_origin,bad_return_endpoint,cropped_stroke,loadcell_saturation,force_spikes,raw_adc_dropout_count,stale_force_max_run_press,stale_force_flag,raw_cal_sign_disagreements,min_raw,min_cal_g,negative_observed,negative_class,negative_at_x_mm,negative_phase
Astro_Domes_Shiner_35g,DataLog_1.csv,Astro_Domes_Shiner_35g/DataLog_1.csv,4aaa79fd15a647813fe301ae8510112cfdebf865ff412f4870ca9cd8e344b873,3bd44aa80349f67742261c42288d5ec6c61f47e9,acq_sha256:4aaa79fd15a647813fe301ae8510112cfdebf865ff412f4870ca9cd8e344b873,61844,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1665,0,0,True,True,True,34.0,34.0,90.0,0,0.14808099123602297,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.155,-0.01,4.15,4.165,834,1.0036144578313253,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,945.0,0.042,False,,,
Astro_Domes_Shiner_35g,DataLog_2.csv,Astro_Domes_Shiner_35g/DataLog_2.csv,30ea1749675bae41b46785e16ca9e10dbf2376c378853a4cc27b5f0b23662cd0,1f34b8aaf1c5a0b016f8521889ed7417c0250904,acq_sha256:30ea1749675bae41b46785e16ca9e10dbf2376c378853a4cc27b5f0b23662cd0,58557,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1666,0,0,True,True,True,34.0,34.0,123.0,2,0.14845838531456068,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.16,-0.005,4.155,4.165,834,1.0024067388688327,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,3574.0,0.5553,False,,,
Astro_Domes_Weird_70g,DataLog_1.csv,Astro_Domes_Weird_70g/DataLog_1.csv,241575e104aa123cae90896eb05d61f94e83a6953d6241d4197650c7828aa251,1c229c2eace4979d1606bdf46a1e2f5819505b6f,acq_sha256:241575e104aa123cae90896eb05d61f94e83a6953d6241d4197650c7828aa251,58219,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1637,0,0,True,True,True,34.0,34.0,156.0,1,0.14863074605738344,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.085,-0.01,4.08,4.095,820,1.0036764705882353,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,264.0,0.0945,False,,,
Astro_Domes_Weird_70g,DataLog_2.csv,Astro_Domes_Weird_70g/DataLog_2.csv,2ed4c41cc8999cdff15cba306fb8a8f23a7bba937baa79de961abc4546e4b7c7,af78cf25d3220d3e61b0851f9886b61e668b68fa,acq_sha256:2ed4c41cc8999cdff15cba306fb8a8f23a7bba937baa79de961abc4546e4b7c7,59825,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1636,0,0,True,True,True,34.0,34.0,202.0,2,0.14752827024004905,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.085,-0.005,4.08,4.09,819,1.0024509803921569,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,1893.0,0.1237,False,,,
Astro_Domes_Whatadome_60g,DataLog_1.csv,Astro_Domes_Whatadome_60g/DataLog_1.csv,8810f0df1906710f0045db44ea5c297bc260eb5b7f335a00ef26939a078958bc,53f717649c71948d25d3f4e7dbfd1b830f920833,acq_sha256:8810f0df1906710f0045db44ea5c297bc260eb5b7f335a00ef26939a078958bc,58646,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1656,0,0,True,True,True,34.0,34.0,134.0,1,0.14872292272874232,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.135,-0.005,4.13,4.14,829,1.0024213075060533,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,969.0,0.1772,False,,,
Astro_Domes_Whatadome_60g,DataLog_2.csv,Astro_Domes_Whatadome_60g/DataLog_2.csv,66ea65856b34228d3a8829bab95aa2c901e416c471e8a798e5a79a4a3c6077b6,8ebb7c4774f7db9c46112b0172f347071607899b,acq_sha256:66ea65856b34228d3a8829bab95aa2c901e416c471e8a798e5a79a4a3c6077b6,60414,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1656,0,0,True,True,True,34.0,34.0,203.0,2,0.1475725386754117,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.135,-0.005,4.13,4.14,829,1.0024213075060533,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,976.0,0.125,False,,,
BKE_Redux_v1_Extreme_01,BKE_Redux_Extreme_01-DataLog_1.csv,BKE_Redux_v1_Extreme_01/BKE_Redux_Extreme_01-DataLog_1.csv,2b5daaa1211cbc69dfd5870b9603c29e63997e77e51be3c97847d4266162105f,fb7503e4f2733baea91e93dff3da7d4d7030a2ac,acq_sha256:2b5daaa1211cbc69dfd5870b9603c29e63997e77e51be3c97847d4266162105f,52454,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1451,0,0,True,True,True,34.0,34.0,146.0,2,0.14836491630172308,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.625,0.0,3.62,3.625,726,1.0013812154696133,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,3159.0,0.6586,False,,,
BKE_Redux_v1_Extreme_01,BKE_Redux_Extreme_01-DataLog_2.csv,BKE_Redux_v1_Extreme_01/BKE_Redux_Extreme_01-DataLog_2.csv,0aa66c2f5385fb116d8f2c1946a5e9bbf21be0d0325f0ccd013d2cd4e12b4751,04629546f2bfbcd5dddaf0621b348508e88d7b84,acq_sha256:0aa66c2f5385fb116d8f2c1946a5e9bbf21be0d0325f0ccd013d2cd4e12b4751,53909,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1450,0,0,True,True,True,34.0,34.0,146.0,1,0.14838736050361773,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.615,-0.015,3.6100000000000003,3.6300000000000003,727,1.005540166204986,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,52.0,0.0469,False,,,
BKE_Redux_v1_Extreme_01,BKE_Redux_Extreme_01-DataLog_3.csv,BKE_Redux_v1_Extreme_01/BKE_Redux_Extreme_01-DataLog_3.csv,5a238c2970b761d30fc1b951724565db06136510d1959d42ed0312ab7d6bcbaf,0c700e319864cbf8ab0cfefa7bca3e0e75f83027,acq_sha256:5a238c2970b761d30fc1b951724565db06136510d1959d42ed0312ab7d6bcbaf,55400,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1451,0,0,True,True,True,34.0,34.0,113.0,1,0.14833885006742675,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.62,-0.01,3.615,3.63,727,1.004149377593361,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,368.0,0.0555,False,,,
BKE_Redux_v1_Heavy_01,DataLog_1.csv,BKE_Redux_v1_Heavy_01/DataLog_1.csv,36ef7bfad85ba95eb1afcbc265e3427e58600914fdf68cb4c8775d1ff00c44be,8192e44742986b5f103e021fc92353f93cd43bbe,acq_sha256:36ef7bfad85ba95eb1afcbc265e3427e58600914fdf68cb4c8775d1ff00c44be,53235,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1489,0,0,True,True,True,34.0,34.0,179.0,1,0.14839636189564384,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.72,0.0,3.7150000000000003,3.72,745,1.0013458950201883,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,4551.0,0.8014,False,,,
