set,run,raw_path,sha256,git_blob_oid,acquisition_id,raw_bytes,excluded_by_registry,qc_disposition,qc_disposition_flags,legacy_membership_evaluated,retained_conventional,retained_legacy,retained_output,retained_review_candidate,retained_canonical,output_membership_authority,release_eligible,intake_policy_version,intake_implementation_parity_target,intake_decision_manifest_version,intake_policy_role,intake_set_status,intake_individually_acceptable,intake_matches_replicate_band,intake_retained,intake_decision_reasons,exclusion_reason,intake_ramp_review_required,intake_ramp_review_ramp_gf_per_mm,intake_ramp_review_retained_median_gf_per_mm,intake_ramp_review_signed_deviation_pct,intake_ramp_review_absolute_deviation_pct,intake_ramp_review_threshold_pct,collapse_force_gf,collapse_travel_mm,valley_force_gf,valley_travel_mm,snap_pct,travel_mm,full_stroke_press_work_gf_mm,precollapse_work_gf_mm,drop_gf,drop_travel_mm,drop_rate_gf_per_mm,norm_drop_rate_per_mm,steepest_drop_0p10mm_gf_per_mm,ramp_10_90_gf_per_mm,force_wall_travel_mm,force_wall_found,steepest_drop_start_mm,steepest_drop_end_mm,ramp_baseline_force_gf,ramp_x10_mm,ramp_x90_mm,ramp_x10_cross_count,ramp_x90_cross_count,ramp_x10_eligible_cross_count,ramp_x90_eligible_cross_count,ramp_band_sample_count,ramp_band_complete,quality_flags
Deskeys_V3_Brown_63g,DataLog_1.csv,Deskeys_V3_Brown_63g/DataLog_1.csv,8a4b99088323a309e4be81698934f51fa8fe02618988dadc1a13e7d1a68b1b91,83adc159591255644bf32728286fe150aba366e4,acq_sha256:8a4b99088323a309e4be81698934f51fa8fe02618988dadc1a13e7d1a68b1b91,60220,False,pass_with_offset_note,baseline_zero_offset,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,69.55262857142857,1.165,40.4034,3.095,41.90960021229556,3.855,203.25636825000015,65.4048205,29.149228571428573,1.9300000000000002,15.10322723908216,0.21714818762847443,26.117571428571438,52.46383345955478,3.855,True,2.04,2.14,30.158514285714286,0.11457012055358008,0.7152752034725985,1,1,1,1,21,True,
Deskeys_V3_Brown_63g,DataLog_2.csv,Deskeys_V3_Brown_63g/DataLog_2.csv,59559bafcd5b55dc079a6726b9c8d42726db3d32e58947ba80a31c8c64da279d,1d09f236670276dd867fa5636dd5a24d5435c885,acq_sha256:59559bafcd5b55dc079a6726b9c8d42726db3d32e58947ba80a31c8c64da279d,61944,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,70.519,1.185,41.81478571428572,3.085,40.70422763470027,3.85,207.42458874999983,67.92830400000003,28.704214285714286,1.9,15.10748120300752,0.2142327770247383,25.36357142857156,51.842106506041304,3.85,True,2.0349999999999997,2.135,31.800514285714286,0.12168695050589488,0.7191701675086414,1,1,1,1,21,True,
Deskeys_V3_Cheese_28g,DataLog_1.csv,Deskeys_V3_Cheese_28g/DataLog_1.csv,9b584bf3497b29060c2a94a0dbec4af21a8e9c02ae3fedbf30489ae83f92ba35,68ec04c4412b1af0076039f4350a7724d1c9ced3,acq_sha256:9b584bf3497b29060c2a94a0dbec4af21a8e9c02ae3fedbf30489ae83f92ba35,61535,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,31.80195714285714,1.295,24.079900000000002,3.135,24.281704135908967,3.81,99.64723549999995,31.578240000000005,7.722057142857139,1.8399999999999999,4.196770186335402,0.13196578334733133,8.752714285714305,26.42555581504285,3.81,True,2.675,2.775,8.876142857142858,0.12592870466023875,0.819978493317132,1,1,1,1,21,True,
Deskeys_V3_Cheese_28g,DataLog_2.csv,Deskeys_V3_Cheese_28g/DataLog_2.csv,6e22fab8136e752ac47e60d69ffb54871bd43149c5b5efb45f9d0e5f07aed85b,77debe029941990f2a9d206dbd378d465de1c602,acq_sha256:6e22fab8136e752ac47e60d69ffb54871bd43149c5b5efb45f9d0e5f07aed85b,63401,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,31.843128571428572,1.295,24.119214285714285,3.1,24.256141378785916,3.81,99.77464475000008,31.58711099999999,7.723914285714287,1.8050000000000002,4.279176889592402,0.13438305473011586,9.070285714285689,26.30006068547316,3.81,True,2.665,2.765,8.932471428571429,0.12430629235802759,0.8212068027210884,1,1,1,1,21,True,
Deskeys_V3_Green_70g,DataLog_1.csv,Deskeys_V3_Green_70g/DataLog_1.csv,790d257be4fd206dad766767e5c45d96711de780d5a692e019c935c39059ed63,11d08c9c940b691417a39611b7467a28c1a1fa44,acq_sha256:790d257be4fd206dad766767e5c45d96711de780d5a692e019c935c39059ed63,60434,False,pass_with_offset_note,baseline_zero_offset,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,86.22392857142857,1.0,47.13624285714286,3.02,45.33275897062052,3.905,246.38298699999984,67.52481075000004,39.08768571428571,2.02,19.350339462517677,0.224419598864458,37.23700000000001,79.84086348006896,3.905,True,2.14,2.24,35.788599999999995,0.1321766484645646,0.6375351966873701,1,1,1,1,21,True,
Deskeys_V3_Green_70g,DataLog_2.csv,Deskeys_V3_Green_70g/DataLog_2.csv,91299d072b20bdc6d130f6c91ca5faf36a9ebb812001f70103850100c324649d,7409fccf4828fb2b58f609c39c26bdc724179221,acq_sha256:91299d072b20bdc6d130f6c91ca5faf36a9ebb812001f70103850100c324649d,60522,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,86.3437,1.085,48.071057142857136,3.005,44.325924018941585,3.93,247.72453850000002,72.39976374999993,38.27264285714286,1.92,19.933668154761907,0.2308641875986541,45.67828571428578,82.61566508136093,3.93,True,1.875,1.975,30.866828571428574,0.1309514267365571,0.668155806791474,1,1,1,1,21,True,
Deskeys_V3_Pink_42g,DataLog_1.csv,Deskeys_V3_Pink_42g/DataLog_1.csv,10f969f0d7299909df5414995057f35006e5efbaddfdfa4d83f1fa5b0e1370ab,72652ee95142975c40d455a72790f69ee76f147b,acq_sha256:10f969f0d7299909df5414995057f35006e5efbaddfdfa4d83f1fa5b0e1370ab,60819,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,45.36485714285714,1.25,29.055057142857144,3.105,35.95249941742191,3.86,134.09579125,42.1632465,16.309799999999996,1.855,8.792345013477087,0.19381401303192405,13.90985714285712,40.19161440347168,3.86,True,2.1,2.2,12.145228571428571,0.14638578097800284,0.8076108462455303,1,1,1,1,21,True,
Deskeys_V3_Pink_42g,DataLog_2.csv,Deskeys_V3_Pink_42g/DataLog_2.csv,d5f7e48053604057c77d80c7c183d3de54f464ad5bb97ccac3dc495f6400dabe,5ff6fcfeebab0dca19aafe8b4c6c92ce91bb7732,acq_sha256:d5f7e48053604057c77d80c7c183d3de54f464ad5bb97ccac3dc495f6400dabe,60871,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,45.306357142857145,1.21,29.183957142857142,3.11,35.585293139247256,3.86,134.18031074999996,40.215494250000006,16.122400000000003,1.9,8.485473684210527,0.187291016522354,14.547000000000025,40.34223403369378,3.86,True,2.165,2.265,11.862942857142857,0.14466990459336768,0.8078640005431834,1,1,1,1,21,True,
Deskeys_V3_Pink_42g,DataLog_3.csv,Deskeys_V3_Pink_42g/DataLog_3.csv,d298507a7da5f15f4120e17c5a48f93f77813004c596872916bc700d01bd5e2a,9a75c9ac6d23f9039bea43f634a10cc376bef1d2,acq_sha256:d298507a7da5f15f4120e17c5a48f93f77813004c596872916bc700d01bd5e2a,62589,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,45.27941428571428,1.26,29.142428571428574,3.085,35.63868033376251,3.86,133.89058824999992,42.41445949999998,16.136985714285707,1.825,8.842183953033265,0.19528044018500004,14.843142857142837,40.507859208803524,3.86,True,2.165,2.265,11.731414285714285,0.14438097559146637,0.8069289483603467,1,1,1,1,21,True,
Deskeys_V3_Purple_49g,DataLog_1.csv,Deskeys_V3_Purple_49g/DataLog_1.csv,57b5261ae31039252e3f63c594db941c57471419831da327cb4e8744c4a79314,b5801a29844a307c996cd4772c44307aa2f2a8f2,acq_sha256:57b5261ae31039252e3f63c594db941c57471419831da327cb4e8744c4a79314,60068,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,47.62631428571429,1.255,37.16617142857143,3.07,21.962948454065906,3.855,153.08996750000006,44.06885149999997,10.460142857142856,1.815,5.763164108618653,0.12100798046317304,15.936142857142883,34.174595492322275,3.855,True,2.165,2.265,14.630957142857142,0.14240856160368878,0.9148035331905786,1,1,1,1,21,True,
Deskeys_V3_Purple_49g,DataLog_2.csv,Deskeys_V3_Purple_49g/DataLog_2.csv,1f63dd894156e38592d5674cb3904c141b258f0e2f0bc2c408ba499b6ddd79df,2b5f56f3dbbb1a4d132bf9654c94b7afcba40134,acq_sha256:1f63dd894156e38592d5674cb3904c141b258f0e2f0bc2c408ba499b6ddd79df,60064,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,47.44134285714286,1.255,37.52965714285715,3.09,20.89250665634012,3.85,153.5051244999999,44.176552500000014,9.91168571428571,1.835,5.401463604515373,0.11385562210539575,15.578857142857174,34.33752256560153,3.85,True,2.165,2.265,14.749300000000002,0.14152998153169083,0.903193384467881,1,1,1,1,21,True,
